country,date,total_cases,new_cases,total_deaths,new_deaths,region,disease
Brazil,2003-06-12,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-13,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-16,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-17,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-18,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-19,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-20,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-23,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-24,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-25,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-26,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-27,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-06-30,3.0,0.0,0.0,0.0,,SARS
Brazil,2003-07-01,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-07-02,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-07-03,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-07-04,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-07-07,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-07-08,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-07-09,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-07-10,1.0,0.0,0.0,0.0,,SARS
Brazil,2003-07-11,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-04-24,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-04-25,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-04-26,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-04-28,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-04-29,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-04-30,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-01,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-02,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-03,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-05,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-06,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-07,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-08,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-09,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-10,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-12,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-13,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-14,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-15,1.0,0.0,0.0,0.0,,SARS
Bulgaria,2003-05-16,1.0,0.0,0.0,0.0,,SARS
Canada,2003-03-17,8.0,0.0,2.0,0.0,North America,SARS
Canada,2003-03-18,8.0,0.0,2.0,0.0,North America,SARS
Canada,2003-03-19,8.0,0.0,2.0,0.0,North America,SARS
Canada,2003-03-20,9.0,1.0,2.0,0.0,North America,SARS
Canada,2003-03-21,9.0,0.0,2.0,0.0,North America,SARS
Canada,2003-03-22,9.0,0.0,2.0,0.0,North America,SARS
Canada,2003-03-24,11.0,2.0,3.0,1.0,North America,SARS
Canada,2003-03-25,11.0,0.0,3.0,0.0,North America,SARS
Canada,2003-03-26,19.0,8.0,3.0,0.0,North America,SARS
Canada,2003-03-27,28.0,9.0,3.0,0.0,North America,SARS
Canada,2003-03-28,29.0,1.0,3.0,0.0,North America,SARS
Canada,2003-03-29,37.0,8.0,3.0,0.0,North America,SARS
Canada,2003-03-31,44.0,7.0,4.0,1.0,North America,SARS
Canada,2003-04-01,53.0,9.0,4.0,0.0,North America,SARS
Canada,2003-04-02,58.0,5.0,6.0,2.0,North America,SARS
Canada,2003-04-03,62.0,4.0,6.0,0.0,North America,SARS
Canada,2003-04-04,69.0,7.0,7.0,1.0,North America,SARS
Canada,2003-04-05,74.0,5.0,7.0,0.0,North America,SARS
Canada,2003-04-07,90.0,16.0,9.0,2.0,North America,SARS
Canada,2003-04-08,91.0,1.0,10.0,1.0,North America,SARS
Canada,2003-04-09,94.0,3.0,10.0,0.0,North America,SARS
Canada,2003-04-10,97.0,3.0,10.0,0.0,North America,SARS
Canada,2003-04-11,98.0,1.0,10.0,0.0,North America,SARS
Canada,2003-04-12,101.0,3.0,10.0,0.0,North America,SARS
Canada,2003-04-14,100.0,0.0,13.0,3.0,North America,SARS
Canada,2003-04-15,100.0,0.0,13.0,0.0,North America,SARS
Canada,2003-04-16,103.0,3.0,13.0,0.0,North America,SARS
Canada,2003-04-17,126.0,23.0,12.0,0.0,North America,SARS
Canada,2003-04-18,132.0,6.0,12.0,0.0,North America,SARS
Canada,2003-04-19,132.0,0.0,12.0,0.0,North America,SARS
Canada,2003-04-21,132.0,0.0,12.0,0.0,North America,SARS
Canada,2003-04-22,139.0,7.0,13.0,1.0,North America,SARS
Canada,2003-04-23,140.0,1.0,13.0,0.0,North America,SARS
Canada,2003-04-24,140.0,0.0,15.0,2.0,North America,SARS
Canada,2003-04-25,140.0,0.0,15.0,0.0,North America,SARS
Canada,2003-04-26,142.0,2.0,18.0,3.0,North America,SARS
Canada,2003-04-28,142.0,0.0,18.0,0.0,North America,SARS
Canada,2003-04-29,146.0,4.0,20.0,2.0,North America,SARS
Canada,2003-04-30,148.0,2.0,20.0,0.0,North America,SARS
Canada,2003-05-01,147.0,0.0,20.0,0.0,North America,SARS
Canada,2003-05-02,149.0,2.0,22.0,2.0,North America,SARS
Canada,2003-05-03,149.0,0.0,22.0,0.0,North America,SARS
Canada,2003-05-05,148.0,0.0,22.0,0.0,North America,SARS
Canada,2003-05-06,148.0,0.0,22.0,0.0,North America,SARS
Canada,2003-05-07,146.0,0.0,22.0,0.0,North America,SARS
Canada,2003-05-08,146.0,0.0,22.0,0.0,North America,SARS
Canada,2003-05-09,145.0,0.0,22.0,0.0,North America,SARS
Canada,2003-05-10,145.0,0.0,22.0,0.0,North America,SARS
Canada,2003-05-12,143.0,0.0,22.0,0.0,North America,SARS
Canada,2003-05-13,143.0,0.0,22.0,0.0,North America,SARS
Canada,2003-05-14,143.0,0.0,23.0,1.0,North America,SARS
Canada,2003-05-15,142.0,0.0,23.0,0.0,North America,SARS
Canada,2003-05-16,140.0,0.0,23.0,0.0,North America,SARS
